incident_id,incident_date,part_id,supplier_id,site_id,defect_severity,defect_type,scrap_qty
QI000090,2016-06-27,P00046,SUP018,SITE04,Minor,Documentation,1
QI000091,2016-11-08,P00294,SUP033,SITE04,Minor,Packaging,1
QI000092,2016-10-20,P00012,SUP030,SITE04,Minor,Certification,1
QI000093,2016-07-04,P00162,SUP009,SITE02,Minor,Dimensional,1
QI000094,2016-05-15,P00272,SUP036,SITE04,Minor,Documentation,1
QI000095,2015-10-26,P00268,SUP036,SITE04,Critical,Dimensional,10
QI000096,2016-10-09,P00102,SUP016,SITE06,Major,Material,1
QI000097,2017-02-22,P00204,SUP032,SITE04,Minor,Surface finish,1
QI000098,2016-10-12,P00003,SUP040,SITE01,Minor,Material,1
QI000099,2016-08-11,P00266,SUP020,SITE06,Minor,Documentation,1
QI000100,2017-06-08,P00136,SUP034,SITE06,Critical,Dimensional,3
QI000101,2015-08-04,P00024,SUP015,SITE02,Minor,Material,1
QI000102,2016-06-09,P00228,SUP040,SITE01,Major,Dimensional,1
QI000103,2015-06-18,P00110,SUP036,SITE04,Minor,Dimensional,1
QI000104,2017-12-27,P00129,SUP033,SITE06,Critical,Documentation,1
QI000105,2016-08-08,P00056,SUP027,SITE05,Major,Packaging,2
QI000106,2016-02-11,P00160,SUP017,SITE04,Minor,Certification,1
QI000107,2016-10-29,P00040,SUP026,SITE01,Minor,Material,1
QI000108,2017-08-30,P00151,SUP025,SITE02,Minor,Documentation,1
QI000109,2017-05-24,P00191,SUP002,SITE03,Minor,Material,1
QI000110,2018-01-08,P00054,SUP027,SITE06,Critical,Surface finish,1
QI000111,2016-03-02,P00091,SUP024,SITE04,Minor,Certification,1
QI000112,2015-04-23,P00263,SUP029,SITE06,Major,Documentation,1
QI000113,2017-08-31,P00201,SUP038,SITE04,Critical,Documentation,5
QI000114,2017-05-08,P00151,SUP025,SITE02,Major,Surface finish,1
QI000115,2015-08-29,P00245,SUP009,SITE05,Minor,Packaging,1
QI000116,2015-12-16,P00006,SUP002,SITE02,Minor,Documentation,1
QI000117,2017-02-08,P00283,SUP010,SITE04,Critical,Dimensional,1
QI000118,2016-05-09,P00122,SUP022,SITE06,Minor,Surface finish,1
QI000119,2016-03-21,P00251,SUP013,SITE03,Minor,Documentation,1
QI000120,2016-11-24,P00047,SUP011,SITE04,Minor,Certification,1
QI000121,2017-03-08,P00241,SUP012,SITE03,Minor,Dimensional,1
QI000122,2016-07-23,P00042,SUP014,SITE06,Minor,Documentation,1
QI000123,2015-09-27,P00041,SUP017,SITE02,Minor,Surface finish,1
QI000124,2017-03-15,P00281,SUP021,SITE05,Minor,Certification,1
QI000125,2015-07-31,P00185,SUP019,SITE06,Major,Surface finish,1
QI000126,2015-08-06,P00194,SUP025,SITE02,Critical,Documentation,1
QI000127,2017-02-01,P00033,SUP024,SITE04,Minor,Packaging,1
QI000128,2015-07-07,P00195,SUP036,SITE06,Minor,Documentation,1
QI000129,2017-04-22,P00283,SUP010,SITE04,Minor,Documentation,1
QI000130,2015-08-13,P00025,SUP030,SITE05,Major,Packaging,1
QI000131,2015-08-29,P00131,SUP017,SITE03,Minor,Certification,1
QI000132,2015-11-30,P00107,SUP022,SITE04,Major,Dimensional,1
QI000133,2016-09-19,P00269,SUP011,SITE02,Major,Packaging,1
QI000134,2017-07-29,P00053,SUP006,SITE02,Major,Surface finish,1
QI000135,2016-12-20,P00061,SUP033,SITE06,Critical,Packaging,1
QI000136,2017-06-23,P00122,SUP022,SITE06,Critical,Dimensional,2
QI000137,2017-09-26,P00222,SUP021,SITE04,Minor,Packaging,1
QI000138,2017-09-23,P00295,SUP014,SITE05,Minor,Certification,1
QI000139,2016-10-28,P00015,SUP019,SITE04,Minor,Documentation,1
QI000140,2017-11-24,P00269,SUP011,SITE05,Minor,Certification,1
QI000141,2016-03-13,P00203,SUP024,SITE06,Minor,Packaging,1
QI000142,2016-05-05,P00221,SUP010,SITE04,Major,Documentation,1
QI000143,2016-06-16,P00277,SUP013,SITE02,Minor,Documentation,1
QI000144,2016-11-21,P00297,SUP002,SITE04,Minor,Surface finish,1
QI000145,2016-09-29,P00153,SUP026,SITE04,Minor,Dimensional,1
QI000146,2015-03-01,P00194,SUP025,SITE05,Major,Dimensional,1
QI000147,2017-12-06,P00138,SUP040,SITE06,Minor,Surface finish,1
QI000148,2015-06-18,P00176,SUP034,SITE06,Minor,Packaging,1
QI000149,2015-05-25,P00256,SUP033,SITE01,Minor,Certification,1
QI000150,2015-08-03,P00289,SUP004,SITE03,Minor,Certification,1
QI000151,2015-03-27,P00126,SUP026,SITE06,Minor,Documentation,1
QI000152,2017-07-06,P00221,SUP010,SITE02,Major,Material,1
QI000153,2016-04-03,P00216,SUP008,SITE02,Minor,Material,1
QI000154,2016-04-24,P00115,SUP008,SITE06,Major,Certification,2
QI000155,2015-04-01,P00144,SUP031,SITE06,Minor,Surface finish,1
QI000156,2017-01-12,P00188,SUP008,SITE06,Major,Dimensional,1
QI000157,2016-04-12,P00250,SUP015,SITE04,Minor,Material,1
QI000158,2015-09-30,P00158,SUP024,SITE06,Minor,Documentation,1
QI000159,2017-01-05,P00123,SUP029,SITE03,Minor,Surface finish,1
QI000160,2017-06-13,P00163,SUP027,SITE01,Minor,Surface finish,1
QI000161,2017-01-17,P00027,SUP016,SITE06,Minor,Documentation,1
QI000162,2016-06-06,P00245,SUP009,SITE02,Major,Certification,3
QI000163,2017-09-08,P00024,SUP015,SITE03,Minor,Surface finish,1
QI000164,2015-11-19,P00038,SUP017,SITE05,Minor,Packaging,1
QI000165,2015-12-06,P00004,SUP034,SITE04,Minor,Dimensional,1
QI000166,2015-11-16,P00254,SUP034,SITE01,Major,Packaging,1
QI000167,2017-03-22,P00080,SUP027,SITE01,Major,Material,1
QI000168,2017-05-28,P00001,SUP004,SITE01,Minor,Packaging,1
QI000169,2017-09-30,P00216,SUP008,SITE06,Major,Packaging,1
QI000170,2016-07-10,P00216,SUP008,SITE06,Major,Material,1
QI000171,2015-07-11,P00198,SUP040,SITE05,Minor,Dimensional,1
QI000172,2015-05-30,P00167,SUP023,SITE02,Minor,Documentation,1
QI000173,2017-06-25,P00097,SUP003,SITE02,Major,Documentation,1
QI000174,2018-01-27,P00005,SUP024,SITE05,Minor,Packaging,1
QI000175,2016-12-08,P00211,SUP019,SITE04,Critical,Material,2
QI000176,2016-09-01,P00021,SUP015,SITE03,Minor,Material,1
QI000177,2017-07-30,P00008,SUP018,SITE01,Minor,Packaging,1
QI000178,2015-05-17,P00110,SUP036,SITE06,Critical,Material,3
QI000179,2016-10-03,P00201,SUP038,SITE04,Critical,Documentation,5
QI000180,2016-07-24,P00258,SUP017,SITE06,Major,Dimensional,1
QI000181,2016-07-09,P00144,SUP031,SITE04,Minor,Material,1
QI000182,2017-05-15,P00011,SUP030,SITE06,Major,Documentation,1
QI000183,2017-06-21,P00121,SUP035,SITE01,Major,Documentation,1
QI000184,2015-09-25,P00026,SUP030,SITE05,Major,Certification,1
QI000185,2015-07-07,P00175,SUP006,SITE03,Minor,Surface finish,1
QI000186,2017-08-03,P00080,SUP027,SITE04,Minor,Surface finish,1
QI000187,2018-01-14,P00080,SUP027,SITE04,Major,Surface finish,2
QI000188,2017-01-26,P00018,SUP027,SITE02,Minor,Documentation,1
QI000189,2016-01-21,P00275,SUP014,SITE04,Major,Certification,1
QI000190,2017-01-01,P00070,SUP027,SITE03,Minor,Packaging,1
QI000191,2017-03-19,P00096,SUP026,SITE05,Minor,Packaging,1
QI000192,2018-02-20,P00201,SUP038,SITE04,Minor,Material,1
QI000193,2015-03-25,P00176,SUP034,SITE02,Minor,Surface finish,1
QI000194,2018-02-09,P00065,SUP038,SITE01,Minor,Packaging,1
QI000195,2016-02-25,P00148,SUP019,SITE03,Major,Material,1
QI000196,2016-07-16,P00026,SUP030,SITE03,Major,Certification,1
QI000197,2017-07-12,P00201,SUP038,SITE01,Major,Packaging,1
QI000198,2017-06-08,P00125,SUP018,SITE04,Major,Certification,1
QI000199,2017-07-14,P00109,SUP029,SITE05,Minor,Material,1
QI000200,2015-07-17,P00267,SUP009,SITE02,Minor,Dimensional,1
QI000201,2016-06-29,P00153,SUP026,SITE04,Major,Documentation,1
QI000202,2016-12-14,P00115,SUP008,SITE01,Minor,Material,1
QI000203,2016-10-31,P00224,SUP028,SITE05,Minor,Surface finish,1
QI000204,2017-09-30,P00215,SUP024,SITE03,Minor,Documentation,1
QI000205,2015-10-05,P00147,SUP026,SITE05,Minor,Certification,1
QI000206,2016-05-25,P00266,SUP020,SITE05,Major,Dimensional,1
QI000207,2017-12-07,P00119,SUP014,SITE02,Minor,Documentation,1
QI000208,2015-05-04,P00091,SUP024,SITE06,Minor,Dimensional,1
QI000209,2015-10-27,P00030,SUP023,SITE02,Major,Documentation,1
QI000210,2015-08-25,P00082,SUP037,SITE06,Minor,Dimensional,1
QI000211,2017-04-07,P00223,SUP012,SITE01,Minor,Material,1
QI000212,2017-09-15,P00260,SUP013,SITE02,Minor,Surface finish,1
QI000213,2016-07-01,P00181,SUP025,SITE04,Minor,Packaging,1
QI000214,2015-03-24,P00198,SUP040,SITE04,Major,Material,1
QI000215,2015-03-28,P00043,SUP028,SITE04,Minor,Packaging,1
QI000216,2017-01-01,P00251,SUP013,SITE03,Major,Packaging,1
QI000217,2017-04-05,P00289,SUP004,SITE04,Minor,Surface finish,1
QI000218,2016-06-13,P00002,SUP028,SITE04,Major,Certification,2
QI000219,2017-02-06,P00167,SUP023,SITE05,Minor,Certification,1
QI000220,2016-09-06,P00072,SUP006,SITE04,Minor,Packaging,1
QI000221,2017-12-07,P00056,SUP027,SITE05,Major,Certification,3
QI000222,2015-05-23,P00046,SUP018,SITE03,Minor,Surface finish,1
QI000223,2016-05-02,P00036,SUP037,SITE06,Major,Dimensional,1
QI000224,2015-12-04,P00259,SUP016,SITE04,Major,Surface finish,1
QI000225,2015-08-20,P00007,SUP040,SITE03,Minor,Surface finish,1
QI000226,2017-09-18,P00069,SUP037,SITE05,Major,Packaging,1
QI000227,2016-01-08,P00153,SUP026,SITE06,Major,Dimensional,1
QI000228,2016-09-07,P00046,SUP018,SITE04,Minor,Material,1
QI000229,2016-10-01,P00263,SUP029,SITE04,Minor,Dimensional,1
QI000230,2018-01-16,P00201,SUP038,SITE06,Major,Surface finish,1
QI000231,2016-11-04,P00267,SUP009,SITE01,Minor,Packaging,1
QI000232,2015-02-23,P00138,SUP040,SITE04,Major,Surface finish,2
QI000233,2015-06-27,P00124,SUP020,SITE02,Minor,Packaging,1
QI000234,2015-07-04,P00222,SUP021,SITE02,Minor,Surface finish,1
QI000235,2016-08-06,P00114,SUP018,SITE02,Critical,Surface finish,1
QI000236,2017-09-01,P00294,SUP033,SITE02,Major,Packaging,2
QI000237,2016-09-23,P00133,SUP039,SITE05,Minor,Documentation,1
QI000238,2017-05-02,P00103,SUP018,SITE02,Major,Packaging,1
QI000239,2016-07-27,P00174,SUP032,SITE04,Major,Surface finish,1
QI000240,2016-04-28,P00194,SUP025,SITE06,Major,Material,4
QI000241,2015-08-07,P00235,SUP028,SITE02,Minor,Packaging,1
QI000242,2016-06-24,P00141,SUP040,SITE05,Minor,Dimensional,1
QI000243,2016-07-12,P00079,SUP012,SITE06,Minor,Surface finish,1
QI000244,2016-04-25,P00047,SUP011,SITE01,Minor,Certification,1
QI000245,2017-05-20,P00018,SUP027,SITE01,Major,Documentation,2
QI000246,2017-02-08,P00133,SUP039,SITE03,Minor,Material,1
QI000247,2017-10-14,P00299,SUP003,SITE05,Minor,Surface finish,1
QI000248,2016-02-12,P00147,SUP026,SITE06,Minor,Material,1
QI000249,2016-08-30,P00299,SUP003,SITE04,Major,Material,1
QI000250,2016-05-18,P00091,SUP024,SITE03,Minor,Packaging,1
QI000251,2016-05-13,P00076,SUP006,SITE04,Minor,Packaging,1
QI000252,2016-05-27,P00020,SUP013,SITE05,Minor,Documentation,1
QI000253,2015-11-14,P00224,SUP028,SITE04,Minor,Dimensional,1
QI000254,2016-04-27,P00022,SUP038,SITE04,Minor,Packaging,1
QI000255,2017-01-30,P00293,SUP030,SITE01,Major,Surface finish,1
QI000256,2017-04-04,P00157,SUP019,SITE05,Major,Certification,1
QI000257,2017-10-24,P00290,SUP002,SITE03,Minor,Certification,1
QI000258,2016-02-21,P00006,SUP002,SITE02,Critical,Certification,5
QI000259,2015-12-03,P00260,SUP013,SITE04,Minor,Certification,1
QI000260,2016-01-12,P00225,SUP032,SITE06,Major,Dimensional,4
QI000261,2017-03-14,P00144,SUP031,SITE02,Minor,Documentation,1
QI000262,2016-05-11,P00156,SUP011,SITE03,Minor,Material,1
QI000263,2016-03-22,P00189,SUP038,SITE04,Critical,Material,2
QI000264,2017-07-20,P00172,SUP014,SITE02,Minor,Certification,1
QI000265,2017-06-01,P00060,SUP014,SITE06,Minor,Certification,1
QI000266,2017-04-21,P00103,SUP018,SITE05,Minor,Surface finish,1
QI000267,2016-05-31,P00133,SUP039,SITE01,Major,Surface finish,1
QI000268,2017-10-31,P00280,SUP003,SITE01,Minor,Dimensional,1
QI000269,2016-01-04,P00078,SUP012,SITE02,Minor,Documentation,1
QI000270,2016-10-27,P00278,SUP022,SITE04,Minor,Packaging,1
QI000271,2016-06-11,P00163,SUP027,SITE02,Minor,Surface finish,1
QI000272,2015-10-01,P00134,SUP037,SITE04,Major,Surface finish,1
QI000273,2015-04-11,P00230,SUP040,SITE04,Minor,Certification,1
QI000274,2015-07-13,P00103,SUP018,SITE01,Minor,Packaging,1
QI000275,2016-06-18,P00101,SUP021,SITE03,Minor,Material,1
QI000276,2016-10-12,P00166,SUP035,SITE05,Minor,Documentation,1
QI000277,2016-10-13,P00242,SUP019,SITE06,Minor,Material,1
QI000278,2017-05-14,P00223,SUP012,SITE04,Minor,Dimensional,1
QI000279,2015-07-31,P00134,SUP037,SITE02,Major,Certification,1
QI000280,2015-06-23,P00234,SUP004,SITE05,Minor,Dimensional,1
QI000281,2017-05-12,P00101,SUP021,SITE02,Minor,Documentation,1
QI000282,2015-08-17,P00261,SUP010,SITE04,Minor,Packaging,1
QI000283,2016-05-20,P00215,SUP024,SITE06,Minor,Packaging,1
QI000284,2017-11-12,P00175,SUP006,SITE05,Minor,Packaging,1
QI000285,2016-07-24,P00207,SUP020,SITE06,Minor,Dimensional,1
QI000286,2015-08-17,P00171,SUP002,SITE04,Major,Packaging,1
QI000287,2017-12-26,P00097,SUP003,SITE03,Major,Certification,1
QI000288,2017-03-03,P00031,SUP006,SITE01,Critical,Material,1
QI000289,2015-03-29,P00006,SUP002,SITE01,Minor,Surface finish,1
QI000290,2015-10-03,P00170,SUP001,SITE03,Minor,Surface finish,1
QI000291,2018-01-07,P00265,SUP007,SITE06,Minor,Surface finish,1
QI000292,2016-12-08,P00048,SUP006,SITE03,Major,Documentation,1
QI000293,2015-09-03,P00080,SUP027,SITE03,Major,Certification,1
QI000294,2015-10-07,P00158,SUP024,SITE06,Minor,Material,1
QI000295,2015-10-05,P00202,SUP006,SITE06,Major,Surface finish,1
QI000296,2016-02-17,P00250,SUP015,SITE06,Minor,Dimensional,1
QI000297,2015-02-23,P00088,SUP029,SITE02,Major,Material,1
QI000298,2017-01-27,P00003,SUP040,SITE05,Minor,Documentation,1
QI000299,2015-01-24,P00179,SUP028,SITE06,Minor,Packaging,1
QI000300,2016-04-04,P00060,SUP014,SITE06,Minor,Surface finish,1
QI000301,2015-04-13,P00005,SUP024,SITE01,Minor,Material,1
QI000302,2017-05-15,P00108,SUP017,SITE05,Minor,Dimensional,1
QI000303,2016-09-28,P00090,SUP039,SITE01,Minor,Certification,1
QI000304,2016-05-25,P00091,SUP024,SITE02,Minor,Dimensional,1
QI000305,2017-06-29,P00004,SUP034,SITE05,Minor,Certification,1
QI000306,2017-04-22,P00224,SUP028,SITE02,Minor,Packaging,1
QI000307,2015-12-07,P00003,SUP040,SITE01,Minor,Surface finish,1
QI000308,2016-11-20,P00098,SUP013,SITE01,Minor,Packaging,1
QI000309,2015-08-20,P00132,SUP037,SITE05,Minor,Material,1
QI000310,2017-12-10,P00117,SUP034,SITE02,Major,Packaging,1
QI000311,2015-12-02,P00115,SUP008,SITE04,Minor,Packaging,1
QI000312,2015-10-10,P00116,SUP038,SITE02,Minor,Packaging,1
QI000313,2017-06-25,P00011,SUP030,SITE01,Major,Material,2
QI000314,2015-08-08,P00098,SUP013,SITE03,Major,Material,1
QI000315,2015-08-27,P00036,SUP037,SITE02,Minor,Material,1
QI000316,2017-12-18,P00056,SUP027,SITE01,Minor,Surface finish,1
QI000317,2016-09-28,P00080,SUP027,SITE03,Minor,Packaging,1
QI000318,2016-05-03,P00051,SUP013,SITE01,Critical,Surface finish,1
QI000319,2017-11-05,P00143,SUP010,SITE02,Minor,Certification,1
QI000320,2015-05-22,P00057,SUP013,SITE03,Minor,Surface finish,1
QI000321,2017-11-12,P00070,SUP027,SITE01,Major,Certification,1
QI000322,2017-08-04,P00204,SUP032,SITE01,Minor,Material,1
QI000323,2018-01-19,P00039,SUP008,SITE01,Minor,Certification,1
QI000324,2015-08-05,P00082,SUP037,SITE04,Minor,Material,1
QI000325,2017-12-01,P00162,SUP009,SITE04,Minor,Certification,1
QI000326,2017-04-14,P00267,SUP009,SITE03,Minor,Packaging,1
QI000327,2016-12-23,P00035,SUP030,SITE03,Major,Dimensional,1
QI000328,2015-11-14,P00234,SUP004,SITE03,Minor,Material,1
QI000329,2017-05-03,P00134,SUP037,SITE01,Minor,Surface finish,1
QI000330,2017-08-25,P00277,SUP013,SITE04,Major,Dimensional,1
QI000331,2015-07-26,P00271,SUP023,SITE02,Minor,Surface finish,1
QI000332,2017-01-06,P00271,SUP023,SITE02,Minor,Packaging,1
QI000333,2017-06-19,P00160,SUP017,SITE06,Minor,Surface finish,1
QI000334,2018-01-16,P00101,SUP021,SITE06,Minor,Material,1
QI000335,2018-01-19,P00186,SUP040,SITE06,Minor,Material,1
QI000336,2016-02-18,P00198,SUP040,SITE04,Major,Dimensional,1
QI000337,2017-09-06,P00056,SUP027,SITE05,Minor,Surface finish,1
QI000338,2016-10-19,P00142,SUP031,SITE06,Major,Dimensional,1
QI000339,2015-03-03,P00120,SUP013,SITE06,Minor,Dimensional,1
QI000340,2016-09-29,P00237,SUP005,SITE06,Minor,Documentation,1
QI000341,2016-06-09,P00155,SUP013,SITE01,Critical,Certification,1
QI000342,2018-01-12,P00025,SUP030,SITE04,Minor,Surface finish,1
QI000343,2015-08-29,P00116,SUP038,SITE04,Minor,Certification,1
QI000344,2016-03-20,P00123,SUP029,SITE06,Minor,Material,1
QI000345,2017-01-28,P00258,SUP017,SITE06,Major,Documentation,1
QI000346,2016-12-21,P00138,SUP040,SITE03,Minor,Surface finish,1
QI000347,2016-09-08,P00072,SUP006,SITE04,Minor,Material,1
QI000348,2016-12-21,P00238,SUP040,SITE01,Minor,Material,1
QI000349,2017-09-13,P00274,SUP004,SITE04,Minor,Documentation,1
QI000350,2017-07-27,P00260,SUP013,SITE04,Minor,Certification,1
QI000351,2015-10-21,P00171,SUP002,SITE01,Minor,Surface finish,1
QI000352,2016-06-16,P00276,SUP007,SITE05,Major,Dimensional,1
QI000353,2015-06-12,P00161,SUP012,SITE03,Minor,Surface finish,1
QI000354,2018-01-27,P00163,SUP027,SITE04,Minor,Certification,1
QI000355,2016-05-23,P00260,SUP013,SITE02,Major,Material,1
QI000356,2016-02-24,P00184,SUP016,SITE06,Critical,Documentation,7
QI000357,2016-08-19,P00196,SUP038,SITE04,Minor,Certification,1
QI000358,2015-10-04,P00222,SUP021,SITE03,Minor,Material,1
QI000359,2015-08-27,P00072,SUP006,SITE04,Minor,Documentation,1
QI000360,2016-10-31,P00297,SUP002,SITE06,Minor,Certification,1
QI000361,2016-04-15,P00298,SUP006,SITE05,Minor,Material,1
QI000362,2016-04-12,P00175,SUP006,SITE04,Minor,Documentation,1
QI000363,2017-06-21,P00136,SUP034,SITE05,Minor,Material,1
QI000364,2015-12-01,P00150,SUP010,SITE01,Major,Material,1
QI000365,2018-01-18,P00119,SUP014,SITE05,Minor,Material,1
QI000366,2016-07-18,P00156,SUP011,SITE01,Minor,Material,1
QI000367,2017-05-09,P00203,SUP024,SITE02,Major,Packaging,1
QI000368,2015-06-01,P00084,SUP009,SITE01,Minor,Documentation,1
