incident_id,part_id,supplier_id,site_id,defect_severity,defect_type,scrap_qty,incident_week
QI000043,P00084,SUP009,SITE04,Critical,Dimensional,4,2023-W30
QI000044,P00201,SUP038,SITE02,Minor,Surface finish,1,2023-W28
QI000045,P00223,SUP012,SITE06,Minor,Certification,1,2023-W47
QI000046,P00264,SUP033,SITE05,Minor,Certification,1,2022-W41
QI000047,P00181,SUP025,SITE01,Critical,Documentation,2,2024-W28
QI000048,P00012,SUP030,SITE01,Major,Packaging,1,2022-W25
QI000049,P00291,SUP014,SITE05,Minor,Material,1,2022-W13
QI000050,P00107,SUP022,SITE03,Major,Certification,1,2024-W17
QI000051,P00121,SUP035,SITE04,Critical,Documentation,13,2023-W11
QI000052,P00271,SUP023,SITE03,Minor,Packaging,1,2023-W22
QI000053,P00244,SUP017,SITE06,Critical,Certification,3,2023-W47
QI000054,P00294,SUP033,SITE05,Critical,Documentation,4,2022-W21
QI000055,P00080,SUP027,SITE04,Minor,Certification,1,2024-W08
QI000056,P00185,SUP019,SITE04,Minor,Packaging,1,2022-W30
QI000057,P00189,SUP038,SITE06,Critical,Surface finish,2,2023-W37
QI000058,P00163,SUP027,SITE06,Minor,Packaging,1,2024-W01
QI000059,P00083,SUP030,SITE03,Minor,Documentation,1,2024-W10
QI000060,P00082,SUP037,SITE02,Minor,Packaging,1,2024-W22
QI000061,P00020,SUP013,SITE05,Critical,Surface finish,1,2024-W29
QI000062,P00268,SUP036,SITE04,Minor,Packaging,1,2023-W49
QI000063,P00245,SUP009,SITE04,Minor,Packaging,1,2022-W20
QI000064,P00040,SUP026,SITE01,Minor,Certification,1,2024-W30
QI000065,P00263,SUP029,SITE05,Major,Certification,1,2023-W43
QI000066,P00102,SUP016,SITE06,Minor,Packaging,1,2022-W44
QI000067,P00114,SUP018,SITE05,Major,Material,1,2022-W20
QI000068,P00155,SUP013,SITE05,Minor,Documentation,1,2023-W50
QI000069,P00214,SUP034,SITE04,Major,Documentation,2,2023-W08
QI000070,P00028,SUP017,SITE05,Critical,Certification,2,2023-W47
QI000071,P00117,SUP034,SITE06,Major,Material,1,2025-W01
QI000072,P00102,SUP016,SITE04,Major,Documentation,1,2022-W20
QI000073,P00100,SUP040,SITE06,Critical,Surface finish,2,2023-W49
QI000074,P00072,SUP006,SITE04,Critical,Packaging,2,2024-W29
QI000075,P00224,SUP028,SITE04,Minor,Surface finish,1,2023-W16
QI000076,P00280,SUP003,SITE02,Critical,Material,6,2024-W39
QI000077,P00140,SUP030,SITE06,Major,Documentation,1,2023-W24
QI000078,P00283,SUP010,SITE02,Minor,Surface finish,1,2023-W46
QI000079,P00100,SUP040,SITE02,Minor,Documentation,1,2022-W52
QI000080,P00175,SUP006,SITE06,Minor,Certification,1,2023-W01
QI000081,P00106,SUP001,SITE04,Major,Material,1,2022-W29
QI000082,P00178,SUP006,SITE02,Minor,Certification,1,2023-W32
QI000083,P00186,SUP040,SITE03,Minor,Certification,1,2022-W49
QI000084,P00029,SUP036,SITE06,Minor,Documentation,1,2022-W51
QI000085,P00238,SUP040,SITE03,Critical,Packaging,3,2022-W50
QI000086,P00175,SUP006,SITE03,Minor,Dimensional,1,2024-W49
QI000087,P00042,SUP014,SITE06,Minor,Surface finish,1,2022-W08
QI000088,P00052,SUP027,SITE06,Minor,Packaging,1,2023-W15
QI000089,P00120,SUP013,SITE04,Minor,Surface finish,1,2023-W02
QI000090,P00046,SUP018,SITE04,Minor,Documentation,1,2023-W26
QI000091,P00294,SUP033,SITE04,Minor,Packaging,1,2023-W45
QI000092,P00012,SUP030,SITE04,Minor,Certification,1,2023-W43
QI000093,P00162,SUP009,SITE02,Minor,Dimensional,1,2023-W27
QI000094,P00272,SUP036,SITE04,Minor,Documentation,1,2023-W20
QI000095,P00268,SUP036,SITE04,Critical,Dimensional,10,2022-W43
QI000096,P00102,SUP016,SITE06,Major,Material,1,2023-W41
QI000097,P00204,SUP032,SITE04,Minor,Surface finish,1,2024-W08
QI000098,P00003,SUP040,SITE01,Minor,Material,1,2023-W41
QI000099,P00266,SUP020,SITE06,Minor,Documentation,1,2023-W33
QI000100,P00136,SUP034,SITE06,Critical,Dimensional,3,2024-W24
QI000101,P00024,SUP015,SITE02,Minor,Material,1,2022-W31
QI000102,P00228,SUP040,SITE01,Major,Dimensional,1,2023-W24
QI000103,P00110,SUP036,SITE04,Minor,Dimensional,1,2022-W25
QI000104,P00129,SUP033,SITE06,Critical,Documentation,1,2024-W52
QI000105,P00056,SUP027,SITE05,Major,Packaging,2,2023-W32
QI000106,P00160,SUP017,SITE04,Minor,Certification,1,2023-W07
QI000107,P00040,SUP026,SITE01,Minor,Material,1,2023-W44
QI000108,P00151,SUP025,SITE02,Minor,Documentation,1,2024-W35
QI000109,P00191,SUP002,SITE03,Minor,Material,1,2024-W21
QI000110,P00054,SUP027,SITE06,Critical,Surface finish,1,2025-W02
QI000111,P00091,SUP024,SITE04,Minor,Certification,1,2023-W09
QI000112,P00263,SUP029,SITE06,Major,Documentation,1,2022-W17
QI000113,P00201,SUP038,SITE04,Critical,Documentation,5,2024-W36
QI000114,P00151,SUP025,SITE02,Major,Surface finish,1,2024-W19
QI000115,P00245,SUP009,SITE05,Minor,Packaging,1,2022-W35
QI000116,P00006,SUP002,SITE02,Minor,Documentation,1,2022-W50
QI000117,P00283,SUP010,SITE04,Critical,Dimensional,1,2024-W06
QI000118,P00122,SUP022,SITE06,Minor,Surface finish,1,2023-W19
QI000119,P00251,SUP013,SITE03,Minor,Documentation,1,2023-W12
QI000120,P00047,SUP011,SITE04,Minor,Certification,1,2023-W48
QI000121,P00241,SUP012,SITE03,Minor,Dimensional,1,2024-W10
QI000122,P00042,SUP014,SITE06,Minor,Documentation,1,2023-W30
QI000123,P00041,SUP017,SITE02,Minor,Surface finish,1,2022-W39
QI000124,P00281,SUP021,SITE05,Minor,Certification,1,2024-W11
QI000125,P00185,SUP019,SITE06,Major,Surface finish,1,2022-W31
QI000126,P00194,SUP025,SITE02,Critical,Documentation,1,2022-W32
QI000127,P00033,SUP024,SITE04,Minor,Packaging,1,2024-W05
QI000128,P00195,SUP036,SITE06,Minor,Documentation,1,2022-W27
QI000129,P00283,SUP010,SITE04,Minor,Documentation,1,2024-W17
QI000130,P00025,SUP030,SITE05,Major,Packaging,1,2022-W33
QI000131,P00131,SUP017,SITE03,Minor,Certification,1,2022-W35
QI000132,P00107,SUP022,SITE04,Major,Dimensional,1,2022-W48
QI000133,P00269,SUP011,SITE02,Major,Packaging,1,2023-W38
QI000134,P00053,SUP006,SITE02,Major,Surface finish,1,2024-W31
QI000135,P00061,SUP033,SITE06,Critical,Packaging,1,2023-W51
QI000136,P00122,SUP022,SITE06,Critical,Dimensional,2,2024-W26
QI000137,P00222,SUP021,SITE04,Minor,Packaging,1,2024-W39
QI000138,P00295,SUP014,SITE05,Minor,Certification,1,2024-W39
QI000139,P00015,SUP019,SITE04,Minor,Documentation,1,2023-W44
QI000140,P00269,SUP011,SITE05,Minor,Certification,1,2024-W48
QI000141,P00203,SUP024,SITE06,Minor,Packaging,1,2023-W11
QI000142,P00221,SUP010,SITE04,Major,Documentation,1,2023-W19
QI000143,P00277,SUP013,SITE02,Minor,Documentation,1,2023-W25
QI000144,P00297,SUP002,SITE04,Minor,Surface finish,1,2023-W47
QI000145,P00153,SUP026,SITE04,Minor,Dimensional,1,2023-W40
QI000146,P00194,SUP025,SITE05,Major,Dimensional,1,2022-W09
QI000147,P00138,SUP040,SITE06,Minor,Surface finish,1,2024-W49
QI000148,P00176,SUP034,SITE06,Minor,Packaging,1,2022-W25
QI000149,P00256,SUP033,SITE01,Minor,Certification,1,2022-W21
QI000150,P00289,SUP004,SITE03,Minor,Certification,1,2022-W31
QI000151,P00126,SUP026,SITE06,Minor,Documentation,1,2022-W13
QI000152,P00221,SUP010,SITE02,Major,Material,1,2024-W28
QI000153,P00216,SUP008,SITE02,Minor,Material,1,2023-W14
QI000154,P00115,SUP008,SITE06,Major,Certification,2,2023-W17
QI000155,P00144,SUP031,SITE06,Minor,Surface finish,1,2022-W13
QI000156,P00188,SUP008,SITE06,Major,Dimensional,1,2024-W03
QI000157,P00250,SUP015,SITE04,Minor,Material,1,2023-W15
QI000158,P00158,SUP024,SITE06,Minor,Documentation,1,2022-W39
QI000159,P00123,SUP029,SITE03,Minor,Surface finish,1,2024-W02
QI000160,P00163,SUP027,SITE01,Minor,Surface finish,1,2024-W24
QI000161,P00027,SUP016,SITE06,Minor,Documentation,1,2024-W03
QI000162,P00245,SUP009,SITE02,Major,Certification,3,2023-W23
QI000163,P00024,SUP015,SITE03,Minor,Surface finish,1,2024-W37
QI000164,P00038,SUP017,SITE05,Minor,Packaging,1,2022-W47
QI000165,P00004,SUP034,SITE04,Minor,Dimensional,1,2022-W49
QI000166,P00254,SUP034,SITE01,Major,Packaging,1,2022-W46
QI000167,P00080,SUP027,SITE01,Major,Material,1,2024-W12
QI000168,P00001,SUP004,SITE01,Minor,Packaging,1,2024-W22
QI000169,P00216,SUP008,SITE06,Major,Packaging,1,2024-W40
QI000170,P00216,SUP008,SITE06,Major,Material,1,2023-W28
QI000171,P00198,SUP040,SITE05,Minor,Dimensional,1,2022-W28
QI000172,P00167,SUP023,SITE02,Minor,Documentation,1,2022-W22
QI000173,P00097,SUP003,SITE02,Major,Documentation,1,2024-W26
QI000174,P00005,SUP024,SITE05,Minor,Packaging,1,2025-W05
QI000175,P00211,SUP019,SITE04,Critical,Material,2,2023-W50
QI000176,P00021,SUP015,SITE03,Minor,Material,1,2023-W36
QI000177,P00008,SUP018,SITE01,Minor,Packaging,1,2024-W31
QI000178,P00110,SUP036,SITE06,Critical,Material,3,2022-W20
QI000179,P00201,SUP038,SITE04,Critical,Documentation,5,2023-W40
QI000180,P00258,SUP017,SITE06,Major,Dimensional,1,2023-W30
QI000181,P00144,SUP031,SITE04,Minor,Material,1,2023-W28
QI000182,P00011,SUP030,SITE06,Major,Documentation,1,2024-W20
QI000183,P00121,SUP035,SITE01,Major,Documentation,1,2024-W25
QI000184,P00026,SUP030,SITE05,Major,Certification,1,2022-W39
QI000185,P00175,SUP006,SITE03,Minor,Surface finish,1,2022-W27
QI000186,P00080,SUP027,SITE04,Minor,Surface finish,1,2024-W32
QI000187,P00080,SUP027,SITE04,Major,Surface finish,2,2025-W03
QI000188,P00018,SUP027,SITE02,Minor,Documentation,1,2024-W05
QI000189,P00275,SUP014,SITE04,Major,Certification,1,2023-W04
QI000190,P00070,SUP027,SITE03,Minor,Packaging,1,2024-W01
QI000191,P00096,SUP026,SITE05,Minor,Packaging,1,2024-W12
QI000192,P00201,SUP038,SITE04,Minor,Material,1,2025-W08
QI000193,P00176,SUP034,SITE02,Minor,Surface finish,1,2022-W12
QI000194,P00065,SUP038,SITE01,Minor,Packaging,1,2025-W07
QI000195,P00148,SUP019,SITE03,Major,Material,1,2023-W09
QI000196,P00026,SUP030,SITE03,Major,Certification,1,2023-W29
QI000197,P00201,SUP038,SITE01,Major,Packaging,1,2024-W28
QI000198,P00125,SUP018,SITE04,Major,Certification,1,2024-W24
QI000199,P00109,SUP029,SITE05,Minor,Material,1,2024-W29
QI000200,P00267,SUP009,SITE02,Minor,Dimensional,1,2022-W29
QI000201,P00153,SUP026,SITE04,Major,Documentation,1,2023-W26
QI000202,P00115,SUP008,SITE01,Minor,Material,1,2023-W50
QI000203,P00224,SUP028,SITE05,Minor,Surface finish,1,2023-W44
QI000204,P00215,SUP024,SITE03,Minor,Documentation,1,2024-W40
QI000205,P00147,SUP026,SITE05,Minor,Certification,1,2022-W40
QI000206,P00266,SUP020,SITE05,Major,Dimensional,1,2023-W21
QI000207,P00119,SUP014,SITE02,Minor,Documentation,1,2024-W50
QI000208,P00091,SUP024,SITE06,Minor,Dimensional,1,2022-W18
QI000209,P00030,SUP023,SITE02,Major,Documentation,1,2022-W43
QI000210,P00082,SUP037,SITE06,Minor,Dimensional,1,2022-W34
QI000211,P00223,SUP012,SITE01,Minor,Material,1,2024-W15
QI000212,P00260,SUP013,SITE02,Minor,Surface finish,1,2024-W38
QI000213,P00181,SUP025,SITE04,Minor,Packaging,1,2023-W27
QI000214,P00198,SUP040,SITE04,Major,Material,1,2022-W12
QI000215,P00043,SUP028,SITE04,Minor,Packaging,1,2022-W13
QI000216,P00251,SUP013,SITE03,Major,Packaging,1,2024-W01
QI000217,P00289,SUP004,SITE04,Minor,Surface finish,1,2024-W14
QI000218,P00002,SUP028,SITE04,Major,Certification,2,2023-W24
QI000219,P00167,SUP023,SITE05,Minor,Certification,1,2024-W06
QI000220,P00072,SUP006,SITE04,Minor,Packaging,1,2023-W36
QI000221,P00056,SUP027,SITE05,Major,Certification,3,2024-W50
QI000222,P00046,SUP018,SITE03,Minor,Surface finish,1,2022-W21
QI000223,P00036,SUP037,SITE06,Major,Dimensional,1,2023-W18
QI000224,P00259,SUP016,SITE04,Major,Surface finish,1,2022-W49
QI000225,P00007,SUP040,SITE03,Minor,Surface finish,1,2022-W34
QI000226,P00069,SUP037,SITE05,Major,Packaging,1,2024-W38
QI000227,P00153,SUP026,SITE06,Major,Dimensional,1,2023-W02
QI000228,P00046,SUP018,SITE04,Minor,Material,1,2023-W36
QI000229,P00263,SUP029,SITE04,Minor,Dimensional,1,2023-W40
QI000230,P00201,SUP038,SITE06,Major,Surface finish,1,2025-W03
QI000231,P00267,SUP009,SITE01,Minor,Packaging,1,2023-W45
QI000232,P00138,SUP040,SITE04,Major,Surface finish,2,2022-W08
QI000233,P00124,SUP020,SITE02,Minor,Packaging,1,2022-W26
QI000234,P00222,SUP021,SITE02,Minor,Surface finish,1,2022-W27
QI000235,P00114,SUP018,SITE02,Critical,Surface finish,1,2023-W32
QI000236,P00294,SUP033,SITE02,Major,Packaging,2,2024-W36
QI000237,P00133,SUP039,SITE05,Minor,Documentation,1,2023-W39
QI000238,P00103,SUP018,SITE02,Major,Packaging,1,2024-W18
QI000239,P00174,SUP032,SITE04,Major,Surface finish,1,2023-W30
QI000240,P00194,SUP025,SITE06,Major,Material,4,2023-W18
QI000241,P00235,SUP028,SITE02,Minor,Packaging,1,2022-W32
QI000242,P00141,SUP040,SITE05,Minor,Dimensional,1,2023-W26
QI000243,P00079,SUP012,SITE06,Minor,Surface finish,1,2023-W28
QI000244,P00047,SUP011,SITE01,Minor,Certification,1,2023-W17
QI000245,P00018,SUP027,SITE01,Major,Documentation,2,2024-W21
QI000246,P00133,SUP039,SITE03,Minor,Material,1,2024-W06
QI000247,P00299,SUP003,SITE05,Minor,Surface finish,1,2024-W42
QI000248,P00147,SUP026,SITE06,Minor,Material,1,2023-W07
QI000249,P00299,SUP003,SITE04,Major,Material,1,2023-W35
QI000250,P00091,SUP024,SITE03,Minor,Packaging,1,2023-W20
QI000251,P00076,SUP006,SITE04,Minor,Packaging,1,2023-W20
QI000252,P00020,SUP013,SITE05,Minor,Documentation,1,2023-W22
QI000253,P00224,SUP028,SITE04,Minor,Dimensional,1,2022-W46
QI000254,P00022,SUP038,SITE04,Minor,Packaging,1,2023-W17
QI000255,P00293,SUP030,SITE01,Major,Surface finish,1,2024-W05
QI000256,P00157,SUP019,SITE05,Major,Certification,1,2024-W14
QI000257,P00290,SUP002,SITE03,Minor,Certification,1,2024-W43
QI000258,P00006,SUP002,SITE02,Critical,Certification,5,2023-W08
QI000259,P00260,SUP013,SITE04,Minor,Certification,1,2022-W49
QI000260,P00225,SUP032,SITE06,Major,Dimensional,4,2023-W02
QI000261,P00144,SUP031,SITE02,Minor,Documentation,1,2024-W11
QI000262,P00156,SUP011,SITE03,Minor,Material,1,2023-W19
QI000263,P00189,SUP038,SITE04,Critical,Material,2,2023-W12
QI000264,P00172,SUP014,SITE02,Minor,Certification,1,2024-W30
QI000265,P00060,SUP014,SITE06,Minor,Certification,1,2024-W23
QI000266,P00103,SUP018,SITE05,Minor,Surface finish,1,2024-W17
QI000267,P00133,SUP039,SITE01,Major,Surface finish,1,2023-W22
QI000268,P00280,SUP003,SITE01,Minor,Dimensional,1,2024-W44
QI000269,P00078,SUP012,SITE02,Minor,Documentation,1,2023-W01
QI000270,P00278,SUP022,SITE04,Minor,Packaging,1,2023-W44
QI000271,P00163,SUP027,SITE02,Minor,Surface finish,1,2023-W24
QI000272,P00134,SUP037,SITE04,Major,Surface finish,1,2022-W40
QI000273,P00230,SUP040,SITE04,Minor,Certification,1,2022-W15
QI000274,P00103,SUP018,SITE01,Minor,Packaging,1,2022-W28
QI000275,P00101,SUP021,SITE03,Minor,Material,1,2023-W25
QI000276,P00166,SUP035,SITE05,Minor,Documentation,1,2023-W41
QI000277,P00242,SUP019,SITE06,Minor,Material,1,2023-W42
QI000278,P00223,SUP012,SITE04,Minor,Dimensional,1,2024-W20
QI000279,P00134,SUP037,SITE02,Major,Certification,1,2022-W31
QI000280,P00234,SUP004,SITE05,Minor,Dimensional,1,2022-W25
QI000281,P00101,SUP021,SITE02,Minor,Documentation,1,2024-W20
QI000282,P00261,SUP010,SITE04,Minor,Packaging,1,2022-W33
QI000283,P00215,SUP024,SITE06,Minor,Packaging,1,2023-W21
QI000284,P00175,SUP006,SITE05,Minor,Packaging,1,2024-W46
QI000285,P00207,SUP020,SITE06,Minor,Dimensional,1,2023-W30
QI000286,P00171,SUP002,SITE04,Major,Packaging,1,2022-W33
QI000287,P00097,SUP003,SITE03,Major,Certification,1,2024-W52
QI000288,P00031,SUP006,SITE01,Critical,Material,1,2024-W10
QI000289,P00006,SUP002,SITE01,Minor,Surface finish,1,2022-W13
QI000290,P00170,SUP001,SITE03,Minor,Surface finish,1,2022-W40
QI000291,P00265,SUP007,SITE06,Minor,Surface finish,1,2025-W02
QI000292,P00048,SUP006,SITE03,Major,Documentation,1,2023-W50
QI000293,P00080,SUP027,SITE03,Major,Certification,1,2022-W36
QI000294,P00158,SUP024,SITE06,Minor,Material,1,2022-W40
QI000295,P00202,SUP006,SITE06,Major,Surface finish,1,2022-W40
QI000296,P00250,SUP015,SITE06,Minor,Dimensional,1,2023-W07
QI000297,P00088,SUP029,SITE02,Major,Material,1,2022-W08
QI000298,P00003,SUP040,SITE05,Minor,Documentation,1,2024-W05
QI000299,P00179,SUP028,SITE06,Minor,Packaging,1,2022-W04
QI000300,P00060,SUP014,SITE06,Minor,Surface finish,1,2023-W14
QI000301,P00005,SUP024,SITE01,Minor,Material,1,2022-W15
QI000302,P00108,SUP017,SITE05,Minor,Dimensional,1,2024-W20
QI000303,P00090,SUP039,SITE01,Minor,Certification,1,2023-W39
QI000304,P00091,SUP024,SITE02,Minor,Dimensional,1,2023-W21
QI000305,P00004,SUP034,SITE05,Minor,Certification,1,2024-W27
QI000306,P00224,SUP028,SITE02,Minor,Packaging,1,2024-W17
QI000307,P00003,SUP040,SITE01,Minor,Surface finish,1,2022-W49
QI000308,P00098,SUP013,SITE01,Minor,Packaging,1,2023-W47
QI000309,P00132,SUP037,SITE05,Minor,Material,1,2022-W34
QI000310,P00117,SUP034,SITE02,Major,Packaging,1,2024-W50
QI000311,P00115,SUP008,SITE04,Minor,Packaging,1,2022-W48
QI000312,P00116,SUP038,SITE02,Minor,Packaging,1,2022-W41
QI000313,P00011,SUP030,SITE01,Major,Material,2,2024-W26
QI000314,P00098,SUP013,SITE03,Major,Material,1,2022-W32
QI000315,P00036,SUP037,SITE02,Minor,Material,1,2022-W35
QI000316,P00056,SUP027,SITE01,Minor,Surface finish,1,2024-W51
QI000317,P00080,SUP027,SITE03,Minor,Packaging,1,2023-W39
QI000318,P00051,SUP013,SITE01,Critical,Surface finish,1,2023-W18
QI000319,P00143,SUP010,SITE02,Minor,Certification,1,2024-W45
QI000320,P00057,SUP013,SITE03,Minor,Surface finish,1,2022-W21
QI000321,P00070,SUP027,SITE01,Major,Certification,1,2024-W46
QI000322,P00204,SUP032,SITE01,Minor,Material,1,2024-W32
QI000323,P00039,SUP008,SITE01,Minor,Certification,1,2025-W04
QI000324,P00082,SUP037,SITE04,Minor,Material,1,2022-W31
QI000325,P00162,SUP009,SITE04,Minor,Certification,1,2024-W49
QI000326,P00267,SUP009,SITE03,Minor,Packaging,1,2024-W16
QI000327,P00035,SUP030,SITE03,Major,Dimensional,1,2023-W52
QI000328,P00234,SUP004,SITE03,Minor,Material,1,2022-W46
QI000329,P00134,SUP037,SITE01,Minor,Surface finish,1,2024-W18
QI000330,P00277,SUP013,SITE04,Major,Dimensional,1,2024-W35
QI000331,P00271,SUP023,SITE02,Minor,Surface finish,1,2022-W30
QI000332,P00271,SUP023,SITE02,Minor,Packaging,1,2024-W02
QI000333,P00160,SUP017,SITE06,Minor,Surface finish,1,2024-W25
QI000334,P00101,SUP021,SITE06,Minor,Material,1,2025-W03
QI000335,P00186,SUP040,SITE06,Minor,Material,1,2025-W04
QI000336,P00198,SUP040,SITE04,Major,Dimensional,1,2023-W08
QI000337,P00056,SUP027,SITE05,Minor,Surface finish,1,2024-W36
QI000338,P00142,SUP031,SITE06,Major,Dimensional,1,2023-W42
QI000339,P00120,SUP013,SITE06,Minor,Dimensional,1,2022-W09
QI000340,P00237,SUP005,SITE06,Minor,Documentation,1,2023-W40
QI000341,P00155,SUP013,SITE01,Critical,Certification,1,2023-W24
QI000342,P00025,SUP030,SITE04,Minor,Surface finish,1,2025-W03
QI000343,P00116,SUP038,SITE04,Minor,Certification,1,2022-W35
QI000344,P00123,SUP029,SITE06,Minor,Material,1,2023-W12
QI000345,P00258,SUP017,SITE06,Major,Documentation,1,2024-W05
QI000346,P00138,SUP040,SITE03,Minor,Surface finish,1,2023-W51
QI000347,P00072,SUP006,SITE04,Minor,Material,1,2023-W37
QI000348,P00238,SUP040,SITE01,Minor,Material,1,2023-W51
QI000349,P00274,SUP004,SITE04,Minor,Documentation,1,2024-W37
QI000350,P00260,SUP013,SITE04,Minor,Certification,1,2024-W31
QI000351,P00171,SUP002,SITE01,Minor,Surface finish,1,2022-W42
QI000352,P00276,SUP007,SITE05,Major,Dimensional,1,2023-W25
QI000353,P00161,SUP012,SITE03,Minor,Surface finish,1,2022-W24
QI000354,P00163,SUP027,SITE04,Minor,Certification,1,2025-W05
QI000355,P00260,SUP013,SITE02,Major,Material,1,2023-W21
QI000356,P00184,SUP016,SITE06,Critical,Documentation,7,2023-W08
QI000357,P00196,SUP038,SITE04,Minor,Certification,1,2023-W34
QI000358,P00222,SUP021,SITE03,Minor,Material,1,2022-W40
QI000359,P00072,SUP006,SITE04,Minor,Documentation,1,2022-W35
QI000360,P00297,SUP002,SITE06,Minor,Certification,1,2023-W44
QI000361,P00298,SUP006,SITE05,Minor,Material,1,2023-W16
QI000362,P00175,SUP006,SITE04,Minor,Documentation,1,2023-W15
QI000363,P00136,SUP034,SITE05,Minor,Material,1,2024-W25
QI000364,P00150,SUP010,SITE01,Major,Material,1,2022-W48
QI000365,P00119,SUP014,SITE05,Minor,Material,1,2025-W04
QI000366,P00156,SUP011,SITE01,Minor,Material,1,2023-W29
QI000367,P00203,SUP024,SITE02,Major,Packaging,1,2024-W19
QI000368,P00084,SUP009,SITE01,Minor,Documentation,1,2022-W22
